Customer Id,Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Cost,sculpture_shipping_price,price_per_wgt,Area,kfold,Material_1,Material_2,Material_3,Material_4,Material_5,Material_6,Material_7,International_1,Express Shipment_1,Installation Included_1,Transport_1,Transport_2,Transport_3,Fragile_1,Customer Information_1,Remote Location_1,Transport_Material_1,Transport_Material_10,Transport_Material_11,Transport_Material_12,Transport_Material_13,Transport_Material_14,Transport_Material_15,Transport_Material_16,Transport_Material_17,Transport_Material_18,Transport_Material_19,Transport_Material_2,Transport_Material_20,Transport_Material_21,Transport_Material_22,Transport_Material_23,Transport_Material_24,Transport_Material_25,Transport_Material_26,Transport_Material_27,Transport_Material_28,Transport_Material_29,Transport_Material_3,Transport_Material_30,Transport_Material_31,Transport_Material_4,Transport_Material_5,Transport_Material_6,Transport_Material_7,Transport_Material_8,Transport_Material_9,State_1,State_10,State_11,State_12,State_13,State_14,State_15,State_16,State_17,State_18,State_19,State_2,State_20,State_21,State_22,State_23,State_24,State_25,State_26,State_27,State_28,State_29,State_3,State_30,State_31,State_32,State_33,State_34,State_35,State_36,State_37,State_38,State_39,State_4,State_40,State_41,State_42,State_43,State_44,State_45,State_46,State_47,State_48,State_49,State_5,State_50,State_51,State_52,State_53,State_6,State_7,State_8,State_9
fffe3900320031003400,0.77,31.0,15.0,10.130623125119877,2706,4305,2817.83,7451,9509,846,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fffe3700340035003800,0.36,49.0,13.0,15.462238860137152,4490,3666,94108.39,9557,7017,998,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fffe3300320032003600,0.91,34.0,11.0,7.72356247227797,510,991,2285.93,4809,2790,730,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fffe3800300036003900,0.68,40.0,8.0,9.941024156064854,1865,4326,2314.7,5625,9580,666,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fffe3200300030003100,0.56,5.0,6.5,7.251344983372213,457,52,303.65,6446,198,57,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fffe3500330037003300,0.573,18.0,8.6,8.287276755814599,159,830,350.01,2030,1771,339,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fffe380039003200,0.24,18.0,7.0,8.426173793029069,477,1159,282.81,4195,2759,240,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fffe3900380033003100,0.88,24.0,15.0,13.59171054122378,4240,2732,20923.0,9414,5985,712,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fffe3400310036003500,0.24,11.0,9.1,9.788357245282496,1948,3122,589.09,6626,8218,186,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fffe330037003300,0.5,12.0,7.0,4.84418708645859,354,1003,239.63,3584,6242,159,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
